Face1,Face2,Face3,Face4,Face5,Face6,Face7,Face8,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8
0.08,-0.981,-0.203,-0.81,-0.554,0.327,0,-0.557,-0.86,-0.117,0.796,0.214,-0.344,-0.53,-0.968,-0.9
-0.036,-0.59,0.203,-0.802,-0.912,0.294,0.291,-0.743,-0.714,0.622,1.234,0.482,-0.158,-0.328,0.097,-0.677
1.599,1.233,0.918,0.227,1.599,0.895,1.634,0.527,-1.462,-2.124,-0.668,-1.146,-0.151,-1.007,-1.548,-1.5
2.37,0.725,0.937,1.397,0.962,0.328,0.508,1.024,1.072,0.168,0.725,0.676,1.043,-0.051,0.263,0.644
1.181,-0.593,0.36,1.926,0.572,1.136,0.251,0.837,0.795,-0.372,-0.976,0.815,0.065,0.028,-1.976,-0.164
0.106,-1.036,0.359,-0.04,-0.207,0.362,0.659,0.583,-0.227,0.443,0.398,0.61,0.048,0.231,-0.156,-0.328
-0.74,-0.877,0.592,-0.657,-0.294,0.49,0.251,0.503,0.044,0.815,-0.249,0.484,0.074,0.056,-0.133,-0.009
2.652,-0.045,1.084,1.267,-0.326,0.863,-0.75,-0.219,0.931,1.484,2.201,0.709,1.277,0.675,0.753,1.26
0.997,-1.504,-0.323,1.712,-0.733,-0.329,-0.777,0.238,-0.12,0.534,-0.266,-0.053,0.672,-0.041,-0.815,0.442
0.125,-0.626,-0.39,0.941,0.183,-0.411,0.701,0.257,-0.593,1.387,-0.025,1.697,0.048,0.748,0.232,0.297
2.367,1.193,1.889,2.249,2.235,2.538,2.31,1.748,-1.256,-0.76,-0.787,-0.589,-1.508,-0.873,-0.711,-0.409
1.617,0.638,0.384,0.468,0.638,1.158,1.441,-0.029,-0.179,0.279,-0.521,-0.726,-0.795,-0.903,0.64,0.17
0.77,-0.161,-0.878,-0.702,-0.144,0.318,0.311,-0.364,-0.803,0.819,0.617,-0.512,0.517,-0.971,0.199,-0.682
2.921,1.104,2.646,2.009,2.392,1.322,2.234,2.251,-1.115,0.027,0.54,0.029,-1.016,-0.378,-0.914,-0.16
1.735,0.21,1.639,0.832,0.91,1.497,1.05,0.402,0.501,0.221,0.194,-0.075,-0.837,-0.06,0.171,-0.601
0.517,-0.749,-0.287,-0.599,-0.4,0.646,-0.121,-0.517,0.15,0.906,0.94,-0.358,0.236,-0.596,0.815,-0.503
1.653,0.649,1.098,1.516,0.803,0.298,0.058,0.971,-0.424,1.265,2.055,0.653,-0.229,0.31,-0.344,1.199
1.393,-0.327,1.003,1.55,0.376,1.749,0.019,0.938,1.151,0.326,0.753,0.672,-0.483,-0.289,-0.288,-0.291
0.562,-0.341,0.765,-0.342,0.173,0.681,0.499,0.749,0.803,1.527,0.3,-0.371,-0.317,0.041,1.121,0.3
